POS,Nombre,Equipo,P,G,Año
1,Ronaldo,Brasil,7,8,2002
2,Miroslav Klose,Alemania,7,5,2002
,Rivaldo,Brasil,7,5,2002
4,Jon Dahl Tomasson,Dinamarca,4,4,2002
,Christian Vieri,Italia,4,4,2002
6,Ilhan Mansiz,Turquía,7,3,2002
,Michael Ballack,Alemania,6,3,2002
,Fernando Sanchez Morientes,España,5,3,2002
,Papa Bouba Diop,Senegal,5,3,2002
,Raúl González,España,4,3,2002
,Henrik Larsson,Suecia,4,3,2002
,Marc Wilmots,Bélgica,4,3,2002
,Robbie Keane,Irlanda,4,3,2002
,Pedro Pauleta,Portugal,3,3,2002
15,Umit Davala,Turquía,7,2,2002
,Ahn Jung-Hwan,Corea del Sur,7,2,2002
,Hasan Gokhan Sas,Turquía,6,2,2002
,Michael Owen,Inglaterra,5,2,2002
,Ronaldinho,Brasil,5,2,2002
,Brian McBride,Estados Unidos,5,2,2002
,Landon Donovan,Estados Unidos,5,2,2002
,Jared Francisco Echavarria Borgetti,México,4,2,2002
,Junichi Inamoto,Japón,4,2,2002
,Henri Camara,Senegal,4,2,2002
,Fernando Hierro,España,4,2,2002
,Rónald Gómez,Costa Rica,3,2,2002
,Nelson Cuevas,Paraguay,2,2,2002
28,Bernd Schneider,Alemania,7,1,2002
,Yoo Sang-Chul,Corea del Sur,7,1,2002
,Hakan Sukur,Turquía,7,1,2002
,Seol Ki-Hyun,Corea del Sur,7,1,2002
,Park Ji-Sung,Corea del Sur,7,1,2002
,Song Chong-Gug,Corea del Sur,7,1,2002
,Thomas Linke,Alemania,7,1,2002
,Emre Belozoglu,Turquía,6,1,2002
,Oliver Neuville,Alemania,6,1,2002
,Bulent Korkmaz,Turquía,6,1,2002
,Edmílson,Brasil,6,1,2002
,Roberto Carlos,Brasil,6,1,2002
,Marco Bode,Alemania,6,1,2002
,Emile Heskey,Inglaterra,5,1,2002
,David Beckham,Inglaterra,5,1,2002
,Hwang Sun-Hong,Corea del Sur,5,1,2002
,John O'Brien,Estados Unidos,5,1,2002
,Sol Campbell,Inglaterra,5,1,2002
,Rio Ferdinand,Inglaterra,5,1,2002
,Oliver Bierhoff,Alemania,5,1,2002
,Cuauhtemoc Blanco,México,4,1,2002
,Juan Carlos Valerón,España,4,1,2002
,Takayuki Suzuki,Japón,4,1,2002
1,Miroslav Klose,Alemania,7,5,2006
2,Lukas Podolski,Alemania,7,3,2006
,Thierry Henry,Francia,7,3,2006
,Zinedine Zidane,Francia,6,3,2006
,Maxi Rodríguez,Argentina,5,3,2006
,Ronaldo,Brasil,5,3,2006
,David Villa,España,4,3,2006
,Fernando Torres,España,4,3,2006
,Hernán Crespo,Argentina,4,3,2006
10,Maniche,Portugal,7,2,2006
,Bastian Schweinsteiger,Alemania,7,2,2006
,Patrick Vieira,Francia,7,2,2006
,Luca Toni,Italia,6,2,2006
,Andriy Shevchenko,Ucrania,5,2,2006
,Steven Gerrard,Inglaterra,5,2,2006
,Adriano,Brasil,4,2,2006
,Marco Materazzi,Italia,4,2,2006
,Alexander Frei,Suiza,4,2,2006
,Tim Cahill,Australia,4,2,2006
,Omar Bravo,México,3,2,2006
,Aruna Dindane,Costa de Marfil,3,2,2006
,Carlos Vicente Medina Tenorio,Ecuador,3,2,2006
,Agustin Delgado,Ecuador,3,2,2006
,Tomas Rosicky,República Checa,3,2,2006
,Paulo Wanchope,Costa Rica,3,2,2006
,Bartosz Bosacki,Polonia,2,2,2006
27,Franck Ribéry,Francia,7,1,2006
,Philip Lahm,Alemania,7,1,2006
,Simão,Portugal,7,1,2006
,Oliver Neuville,Alemania,7,1,2006
,Andrea Pirlo,Italia,7,1,2006
,Francesco Totti,Italia,7,1,2006
,Cristiano Ronaldo,Portugal,6,1,2006
,Fabio Grosso,Italia,6,1,2006
,Gianluca Zambrotta,Italia,6,1,2006
,Pedro Miguel Pauleta,Portugal,6,1,2006
,Torsten Frings,Alemania,6,1,2006
,Alberto Gilardino,Italia,5,1,2006
,Kaká,Brasil,5,1,2006
,Zé Roberto,Brasil,5,1,2006
,Esteban Cambiasso,Argentina,5,1,2006
,Alessandro Del Piero,Italia,5,1,2006
,Vincenzo Iaquinta,Italia,5,1,2006
,Roberto Ayala,Argentina,5,1,2006
,David Beckham,Inglaterra,5,1,2006
,Joe Cole,Inglaterra,5,1,2006
,Tranquillo Barnetta,Suiza,4,1,2006
,Carlos Tevez,Argentina,4,1,2006
,Stephen Appiah,Ghana,4,1,2006
,Francisco Fonseca,México,4,1,2006
1,Diego Forlán,Uruguay,7,5,2010
,Wesley Sneijder,Países Bajos,7,5,2010
,David Villa,España,7,5,2010
,Thomas Müller,Alemania,6,5,2010
5,Miroslav Klose,Alemania,5,4,2010
,Róbert Vittek,Eslovaquia,4,4,2010
,Gonzalo Higuaín,Argentina,4,4,2010
8,Luis Suárez,Uruguay,6,3,2010
,Asamoah Gyan,Ghana,5,3,2010
,Luis Fabiano,Brasil,5,3,2010
,Landon Donovan,Estados Unidos,4,3,2010
12,Andrés Iniesta,España,6,2,2010
,Lukas Podolski,Alemania,6,2,2010
,Arjen Robben,Países Bajos,5,2,2010
,Keisuke Honda,Japón,4,2,2010
,Lee Jung-Soo,Corea del Sur,4,2,2010
,Lee Chung-Yong,Corea del Sur,4,2,2010
,Robinho,Brasil,4,2,2010
,Carlos Tevez,Argentina,4,2,2010
,Tiago,Portugal,4,2,2010
,Javier Hernández,México,4,2,2010
,Samuel Eto'o,Camerún,3,2,2010
,Kalu Uche,Nigeria,3,2,2010
,Brett Holman,Australia,3,2,2010
,Elano,Brasil,2,2,2010
26,Maxi Pereira,Uruguay,7,1,2010
,Carles Puyol,España,7,1,2010
,Giovanni van Bronckhorst,Países Bajos,7,1,2010
,Arne Friedrich,Alemania,7,1,2010
,Sami Khedira,Alemania,7,1,2010
