Equipo,Año,G
Alemania,2002,13
Alemania,2006,13
Alemania,2010,14
Alemania,2014,18
Alemania,2022,4
Arabia Saudita,2022,2
Argelia,2014,4
Argentina,2006,9
Argentina,2010,8
Argentina,2014,7
Argentina,2018,2
Argentina,2022,14
Australia,2006,2
Australia,2010,2
Australia,2014,2
Australia,2018,2
Brasil,2002,17
Brasil,2006,7
Brasil,2010,9
Brasil,2014,10
Brasil,2018,6
Brasil,2022,5
Bélgica,2002,3
Bélgica,2014,2
Bélgica,2018,13
Camerún,2010,2
Camerún,2022,2
Chile,2010,1
Chile,2014,2
Colombia,2014,10
Colombia,2018,3
Corea del Sur,2002,7
Corea del Sur,2010,5
Corea del Sur,2018,2
Corea del Sur,2022,2
Costa Rica,2002,2
Costa Rica,2006,2
Costa Rica,2014,3
Costa de Marfil,2006,2
Costa de Marfil,2014,4
Croacia,2014,4
Croacia,2018,12
Croacia,2022,8
Dinamarca,2002,4
Ecuador,2006,4
Ecuador,2014,3
Ecuador,2022,3
Egipto,2018,2
Eslovaquia,2010,4
España,2002,9
España,2006,6
España,2010,8
España,2018,3
España,2022,5
Estados Unidos,2002,5
Estados Unidos,2010,5
Estados Unidos,2014,2
Francia,2006,9
Francia,2014,5
Francia,2018,12
Francia,2022,15
Ghana,2006,1
Ghana,2010,4
Ghana,2014,4
Ghana,2022,2
Inglaterra,2002,6
Inglaterra,2006,4
Inglaterra,2018,12
Inglaterra,2022,9
Irlanda,2002,3
Irán,2022,2
Italia,2002,4
Italia,2006,11
Japón,2002,3
Japón,2010,3
Japón,2018,2
Japón,2022,2
Marruecos,2022,4
México,2002,3
México,2006,3
México,2010,3
Nigeria,2010,2
Nigeria,2014,2
Nigeria,2018,2
Paraguay,2002,2
Paraguay,2010,3
Países Bajos,2010,10
Países Bajos,2014,13
Países Bajos,2022,9
Polonia,2006,2
Polonia,2022,2
Portugal,2002,3
Portugal,2006,5
Portugal,2010,3
Portugal,2018,4
Portugal,2022,7
República Checa,2006,2
Rusia,2018,8
Senegal,2002,5
Serbia,2022,2
Suecia,2002,3
Suecia,2018,5
Suiza,2006,3
Suiza,2014,3
Suiza,2022,2
Turquía,2002,10
Túnez,2018,2
Ucrania,2006,2
Uruguay,2010,11
Uruguay,2014,2
Uruguay,2018,5
Uruguay,2022,2
